Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,260.0,241.0,12.0,7.0,"November 20, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,16,1449.0,1371.0,64.0,14.0,"November 20, 2020"
CITY OF GOLETA,4,330.0,313.0,12.0,5.0,"November 20, 2020"
COMMUNITY OF ISLA VISTA,5,495.0,467.0,27.0,1.0,"November 20, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,262.0,245.0,14.0,3.0,"November 20, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,212.0,188.0,17.0,7.0,"November 20, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,1042.0,999.0,35.0,8.0,"November 20, 2020"
FEDERAL PRISON IN LOMPOC,1,1027.0,1023.0,1.0,3.0,"November 20, 2020"
CITY OF SANTA MARIA,18,4397.0,4242.0,83.0,72.0,"November 20, 2020"
COMMUNITY OF ORCUTT,2,453.0,426.0,21.0,6.0,"November 20, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,494.0,477.0,10.0,7.0,"November 20, 2020"
Out of County,,,0.0,0.0,0.0,"November 20, 2020"
Pending,6,418.0,401.0,17.0,,"November 20, 2020"
Total** ,74,10839.0,10393.0,313.0,133.0,"November 20, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,256.0,240.0,9.0,7.0,"November 19, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1433.0,1363.0,56.0,14.0,"November 19, 2020"
CITY OF GOLETA,4,326.0,306.0,15.0,5.0,"November 19, 2020"
COMMUNITY OF ISLA VISTA,8,491.0,461.0,29.0,1.0,"November 19, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,258.0,240.0,15.0,3.0,"November 19, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,210.0,186.0,17.0,7.0,"November 19, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,1031.0,994.0,29.0,8.0,"November 19, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 19, 2020"
CITY OF SANTA MARIA,14,4380.0,4226.0,82.0,72.0,"November 19, 2020"
COMMUNITY OF ORCUTT,8,451.0,425.0,20.0,6.0,"November 19, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,494.0,474.0,13.0,7.0,"November 19, 2020"
Out of County,,,0.0,0.0,0.0,"November 19, 2020"
Pending,4,412.0,397.0,15.0,,"November 19, 2020"
Total** ,67,10768.0,10335.0,300.0,133.0,"November 19, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,254.0,233.0,14.0,7.0,"November 18, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,21,1423.0,1348.0,61.0,14.0,"November 18, 2020"
CITY OF GOLETA,2,322.0,302.0,15.0,5.0,"November 18, 2020"
COMMUNITY OF ISLA VISTA,9,483.0,458.0,24.0,1.0,"November 18, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,255.0,239.0,13.0,3.0,"November 18, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,205.0,185.0,13.0,7.0,"November 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,1026.0,987.0,31.0,8.0,"November 18, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 18, 2020"
CITY OF SANTA MARIA,24,4366.0,4208.0,86.0,72.0,"November 18, 2020"
COMMUNITY OF ORCUTT,5,443.0,418.0,19.0,6.0,"November 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,490.0,473.0,10.0,7.0,"November 18, 2020"
Out of County,,,0.0,0.0,0.0,"November 18, 2020"
Pending,6,409.0,394.0,15.0,,"November 18, 2020"
Total** ,91,10702.0,10268.0,301.0,133.0,"November 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,252.0,229.0,16.0,7.0,"November 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1402.0,1340.0,48.0,14.0,"November 17, 2020"
CITY OF GOLETA,1,320.0,300.0,15.0,5.0,"November 17, 2020"
COMMUNITY OF ISLA VISTA,3,474.0,457.0,16.0,1.0,"November 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,251.0,238.0,10.0,3.0,"November 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,199.0,184.0,8.0,7.0,"November 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,1014.0,985.0,21.0,8.0,"November 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 17, 2020"
CITY OF SANTA MARIA,12,4343.0,4192.0,79.0,72.0,"November 17, 2020"
COMMUNITY OF ORCUTT,2,438.0,414.0,18.0,6.0,"November 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,490.0,473.0,10.0,7.0,"November 17, 2020"
Out of County,,,0.0,0.0,0.0,"November 17, 2020"
Pending,2,403.0,389.0,14.0,,"November 17, 2020"
Total**,36,10612.0,10224.0,255.0,133.0,"November 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,250.0,229.0,14.0,7.0,"November 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,17,1395.0,1337.0,44.0,14.0,"November 16, 2020"
CITY OF GOLETA,0,319.0,298.0,16.0,5.0,"November 16, 2020"
COMMUNITY OF ISLA VISTA,6,471.0,456.0,14.0,1.0,"November 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,250.0,236.0,11.0,3.0,"November 16, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,198.0,182.0,9.0,7.0,"November 16, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,1010.0,981.0,21.0,8.0,"November 16, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 16, 2020"
CITY OF SANTA MARIA,13,4331.0,4180.0,79.0,72.0,"November 16, 2020"
COMMUNITY OF ORCUTT,2,436.0,410.0,20.0,6.0,"November 16, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,490.0,472.0,11.0,7.0,"November 16, 2020"
Out of County,,,0.0,0.0,0.0,"November 16, 2020"
Pending,1,401.0,385.0,16.0,,"November 16, 2020"
Total**,53,10577.0,10189.0,255.0,133.0,"November 16, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",7,243.0,217.0,19.0,7.0,"November 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1364.0,1313.0,37.0,14.0,"November 13, 2020"
CITY OF GOLETA,2,309.0,291.0,14.0,4.0,"November 13, 2020"
COMMUNITY OF ISLA VISTA,5,464.0,449.0,14.0,1.0,"November 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,9,247.0,226.0,19.0,2.0,"November 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,192.0,180.0,5.0,7.0,"November 13, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,1000.0,968.0,24.0,8.0,"November 13, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 13, 2020"
CITY OF SANTA MARIA,16,4273.0,4159.0,42.0,72.0,"November 13, 2020"
COMMUNITY OF ORCUTT,5,422.0,399.0,17.0,6.0,"November 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,480.0,467.0,6.0,7.0,"November 13, 2020"
Out of County,,,0.0,0.0,0.0,"November 13, 2020"
Pending,9,395.0,376.0,19.0,,"November 13, 2020"
Total**,76,10415.0,10068.0,216.0,131.0,"November 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,236.0,215.0,14.0,7.0,"November 12, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1354.0,1310.0,30.0,14.0,"November 12, 2020"
CITY OF GOLETA,6,307.0,290.0,13.0,4.0,"November 12, 2020"
COMMUNITY OF ISLA VISTA,5,459.0,447.0,11.0,1.0,"November 12, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,238.0,225.0,11.0,2.0,"November 12, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,188.0,180.0,1.0,7.0,"November 12, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,992.0,964.0,20.0,8.0,"November 12, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 12, 2020"
CITY OF SANTA MARIA,10,4257.0,4149.0,36.0,72.0,"November 12, 2020"
COMMUNITY OF ORCUTT,3,417.0,393.0,18.0,6.0,"November 12, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,479.0,466.0,6.0,7.0,"November 12, 2020"
Out of County,,,0.0,0.0,0.0,"November 12, 2020"
Pending,0,386.0,374.0,12.0,,"November 12, 2020"
Total**,47,10339.0,10036.0,172.0,131.0,"November 12, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,231.0,212.0,12.0,7.0,"November 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1337.0,1294.0,29.0,14.0,"November 10, 2020"
CITY OF GOLETA,4,300.0,283.0,13.0,4.0,"November 10, 2020"
COMMUNITY OF ISLA VISTA,4,453.0,430.0,22.0,1.0,"November 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,234.0,223.0,9.0,2.0,"November 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,187.0,179.0,1.0,7.0,"November 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,980.0,960.0,12.0,8.0,"November 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 10, 2020"
CITY OF SANTA MARIA,7,4234.0,4123.0,39.0,72.0,"November 10, 2020"
COMMUNITY OF ORCUTT,9,409.0,384.0,19.0,6.0,"November 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,476.0,466.0,3.0,7.0,"November 10, 2020"
Out of County,,,0.0,0.0,0.0,"November 10, 2020"
Pending,3,393.0,380.0,13.0,,"November 10, 2020"
Total**,32,10260.0,9957.0,172.0,131.0,"November 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,230.0,212.0,11.0,7.0,"November 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1335.0,1290.0,31.0,14.0,"November 9, 2020"
CITY OF GOLETA,4,296.0,282.0,10.0,4.0,"November 9, 2020"
COMMUNITY OF ISLA VISTA,5,449.0,428.0,20.0,1.0,"November 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,234.0,223.0,9.0,2.0,"November 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,187.0,179.0,1.0,7.0,"November 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,979.0,959.0,12.0,8.0,"November 9, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 9, 2020"
CITY OF SANTA MARIA,7,4226.0,4118.0,36.0,72.0,"November 9, 2020"
COMMUNITY OF ORCUTT,3,400.0,380.0,14.0,6.0,"November 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,475.0,462.0,6.0,7.0,"November 9, 2020"
Out of County,,,0.0,0.0,0.0,"November 9, 2020"
Pending,8,393.0,379.0,14.0,,"November 9, 2020"
Total**,41,10230.0,9935.0,164.0,131.0,"November 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,227.0,210.0,10.0,7.0,"November 6, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1318.0,1274.0,30.0,14.0,"November 6, 2020"
CITY OF GOLETA,0,290.0,280.0,6.0,4.0,"November 6, 2020"
COMMUNITY OF ISLA VISTA,2,429.0,417.0,11.0,1.0,"November 6, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,227.0,219.0,6.0,2.0,"November 6, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,187.0,177.0,3.0,7.0,"November 6, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,968.0,944.0,16.0,8.0,"November 6, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 6, 2020"
CITY OF SANTA MARIA,13,4210.0,4109.0,29.0,72.0,"November 6, 2020"
COMMUNITY OF ORCUTT,5,392.0,375.0,11.0,6.0,"November 6, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,469.0,457.0,5.0,7.0,"November 6, 2020"
Out of County,,,0.0,0.0,0.0,"November 6, 2020"
Pending,1,385.0,376.0,9.0,,"November 6, 2020"
Total**,39,10128.0,9861.0,136.0,131.0,"November 6, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,224.0,209.0,8.0,7.0,"November 5, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1311.0,1268.0,29.0,14.0,"November 5, 2020"
CITY OF GOLETA,4,290.0,280.0,6.0,4.0,"November 5, 2020"
COMMUNITY OF ISLA VISTA,4,427.0,409.0,17.0,1.0,"November 5, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,226.0,219.0,5.0,2.0,"November 5, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,187.0,177.0,3.0,7.0,"November 5, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,964.0,939.0,17.0,8.0,"November 5, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 5, 2020"
CITY OF SANTA MARIA,12,4197.0,4098.0,27.0,72.0,"November 5, 2020"
COMMUNITY OF ORCUTT,5,387.0,375.0,6.0,6.0,"November 5, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,466.0,456.0,4.0,6.0,"November 5, 2020"
Out of County,,,0.0,0.0,0.0,"November 5, 2020"
Pending,3,384.0,376.0,8.0,,"November 5, 2020"
Total**,47,10089.0,9829.0,130.0,130.0,"November 5, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,220.0,208.0,5.0,7.0,"November 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1301.0,1262.0,25.0,14.0,"November 4, 2020"
CITY OF GOLETA,1,286.0,280.0,2.0,4.0,"November 4, 2020"
COMMUNITY OF ISLA VISTA,2,423.0,404.0,18.0,1.0,"November 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,224.0,218.0,4.0,2.0,"November 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,186.0,174.0,5.0,7.0,"November 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,962.0,935.0,19.0,8.0,"November 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 4, 2020"
CITY OF SANTA MARIA,3,4185.0,4096.0,17.0,72.0,"November 4, 2020"
COMMUNITY OF ORCUTT,1,382.0,374.0,2.0,6.0,"November 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,466.0,456.0,4.0,6.0,"November 4, 2020"
Out of County,,,0.0,0.0,0.0,"November 4, 2020"
Pending,1,381.0,374.0,7.0,,"November 4, 2020"
Total**,28,10042.0,9804.0,108.0,130.0,"November 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,218.0,208.0,3.0,7.0,"November 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1291.0,1260.0,18.0,13.0,"November 3, 2020"
CITY OF GOLETA,0,285.0,279.0,2.0,4.0,"November 3, 2020"
COMMUNITY OF ISLA VISTA,9,421.0,399.0,21.0,1.0,"November 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,223.0,218.0,3.0,2.0,"November 3, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,185.0,175.0,3.0,7.0,"November 3, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,959.0,934.0,17.0,8.0,"November 3, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 3, 2020"
CITY OF SANTA MARIA,1,4183.0,4088.0,23.0,72.0,"November 3, 2020"
COMMUNITY OF ORCUTT,0,381.0,370.0,5.0,6.0,"November 3, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,464.0,455.0,3.0,6.0,"November 3, 2020"
Out of County,,,0.0,0.0,0.0,"November 3, 2020"
Pending,2,380.0,373.0,7.0,,"November 3, 2020"
Total**,24,10016.0,9782.0,105.0,129.0,"November 3, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,217.0,208.0,2.0,7.0,"November 2, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,1289.0,1259.0,17.0,13.0,"November 2, 2020"
CITY OF GOLETA,0,285.0,278.0,3.0,4.0,"November 2, 2020"
COMMUNITY OF ISLA VISTA,6,412.0,391.0,20.0,1.0,"November 2, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,223.0,218.0,3.0,2.0,"November 2, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,184.0,175.0,2.0,7.0,"November 2, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,951.0,929.0,14.0,8.0,"November 2, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"November 2, 2020"
CITY OF SANTA MARIA,1,4182.0,4084.0,26.0,72.0,"November 2, 2020"
COMMUNITY OF ORCUTT,0,381.0,369.0,6.0,6.0,"November 2, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,464.0,454.0,4.0,6.0,"November 2, 2020"
Out of County,,,0.0,0.0,0.0,"November 2, 2020"
Pending,0,378.0,372.0,6.0,,"November 2, 2020"
Total**,15,9992.0,9760.0,103.0,129.0,"November 2, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,215.0,207.0,1.0,7.0,"October 30, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1280.0,1256.0,11.0,13.0,"October 30, 2020"
CITY OF GOLETA,2,283.0,275.0,4.0,4.0,"October 30, 2020"
COMMUNITY OF ISLA VISTA,0,397.0,370.0,26.0,1.0,"October 30, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,221.0,215.0,4.0,2.0,"October 30, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,184.0,173.0,4.0,7.0,"October 30, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,947.0,918.0,21.0,8.0,"October 30, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"October 30, 2020"
CITY OF SANTA MARIA,10,4174.0,4058.0,44.0,72.0,"October 30, 2020"
COMMUNITY OF ORCUTT,1,380.0,362.0,13.0,5.0,"October 30, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,461.0,453.0,2.0,6.0,"October 30, 2020"
Out of County,,,0.0,0.0,0.0,"October 30, 2020"
Pending,3,376.0,369.0,7.0,,"October 30, 2020"
Total**,26,9944.0,9679.0,137.0,128.0,"October 30, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,214.0,206.0,1.0,7.0,"October 29, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1275.0,1256.0,6.0,13.0,"October 29, 2020"
CITY OF GOLETA,0,281.0,274.0,3.0,4.0,"October 29, 2020"
COMMUNITY OF ISLA VISTA,0,397.0,360.0,36.0,1.0,"October 29, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,7,221.0,215.0,4.0,2.0,"October 29, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,184.0,173.0,4.0,7.0,"October 29, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,945.0,916.0,21.0,8.0,"October 29, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"October 29, 2020"
CITY OF SANTA MARIA,11,4164.0,4054.0,40.0,70.0,"October 29, 2020"
COMMUNITY OF ORCUTT,2,379.0,359.0,15.0,5.0,"October 29, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,460.0,453.0,1.0,6.0,"October 29, 2020"
Out of County,,,0.0,0.0,0.0,"October 29, 2020"
Pending,6,373.0,366.0,7.0,,"October 29, 2020"
Total**,33,9919.0,9655.0,138.0,126.0,"October 29, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,214.0,205.0,2.0,7.0,"October 28, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1274.0,1254.0,7.0,13.0,"October 28, 2020"
CITY OF GOLETA,1,281.0,274.0,3.0,4.0,"October 28, 2020"
COMMUNITY OF ISLA VISTA,9,358.0,316.0,41.0,1.0,"October 28, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,221.0,215.0,4.0,2.0,"October 28, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,183.0,173.0,3.0,7.0,"October 28, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,940.0,915.0,17.0,8.0,"October 28, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"October 28, 2020"
CITY OF SANTA MARIA,7,4153.0,4041.0,42.0,70.0,"October 28, 2020"
COMMUNITY OF ORCUTT,1,377.0,358.0,14.0,5.0,"October 28, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,460.0,452.0,2.0,6.0,"October 28, 2020"
Out of County,,,0.0,0.0,0.0,"October 28, 2020"
Pending,1,399.0,386.0,13.0,,"October 28, 2020"
Total**,23,9886.0,9612.0,148.0,126.0,"October 28, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,214.0,205.0,2.0,7.0,"October 27, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1273.0,1250.0,10.0,13.0,"October 27, 2020"
CITY OF GOLETA,2,280.0,272.0,4.0,4.0,"October 27, 2020"
COMMUNITY OF ISLA VISTA,10,349.0,312.0,36.0,1.0,"October 27, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,220.0,215.0,3.0,2.0,"October 27, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,182.0,172.0,3.0,7.0,"October 27, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,9,939.0,911.0,20.0,8.0,"October 27, 2020"
FEDERAL PRISON IN LOMPOC,0,1026.0,1023.0,0.0,3.0,"October 27, 2020"
CITY OF SANTA MARIA,11,4146.0,4038.0,38.0,70.0,"October 27, 2020"
COMMUNITY OF ORCUTT,6,376.0,359.0,12.0,5.0,"October 27, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,460.0,453.0,1.0,6.0,"October 27, 2020"
Out of County,,,0.0,0.0,0.0,"October 27, 2020"
Pending,3,398.0,386.0,12.0,,"October 27, 2020"
Total**,43,9863.0,9596.0,141.0,126.0,"October 27, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,214.0,205.0,2.0,7.0,"October 26, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,1,1272.0,1248.0,11.0,13.0,"October 26, 2020"
CITY OF GOLETA,1,278.0,272.0,2.0,4.0,"October 26, 2020"
COMMUNITY OF ISLA VISTA,5,339.0,307.0,31.0,1.0,"October 26, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,220.0,214.0,4.0,2.0,"October 26, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,182.0,171.0,4.0,7.0,"October 26, 2020"
